ticker,name,sector
CBA.AX,Commonwealth Bank of Australia,Financials
BHP.AX,BHP Group,Materials
CSL.AX,CSL Limited,Health Care
NAB.AX,National Australia Bank,Financials
WBC.AX,Westpac Banking Corporation,Financials
ANZ.AX,ANZ Group Holdings,Financials
MQG.AX,Macquarie Group,Financials
WES.AX,Wesfarmers,Consumer Discretionary
GMG.AX,Goodman Group,Real Estate
TLS.AX,Telstra Group,Communication Services
WOW.AX,Woolworths Group,Consumer Staples
TCL.AX,Transurban Group,Industrials
RIO.AX,Rio Tinto,Materials
FMG.AX,Fortescue,Materials
WDS.AX,Woodside Energy Group,Energy
ALL.AX,Aristocrat Leisure,Consumer Discretionary
QBE.AX,QBE Insurance Group,Financials
COL.AX,Coles Group,Consumer Staples
STO.AX,Santos,Energy
NCM.AX,Newcrest Mining,Materials
SUN.AX,Suncorp Group,Financials
ORG.AX,Origin Energy,Energy
SCG.AX,Scentre Group,Real Estate
S32.AX,South32,Materials
REA.AX,REA Group,Communication Services
JHX.AX,James Hardie Industries,Materials
COH.AX,Cochlear,Health Care
RMD.AX,ResMed,Health Care
SHL.AX,Sonic Healthcare,Health Care
ASX.AX,ASX Limited,Financials
MIN.AX,Mineral Resources,Materials
NST.AX,Northern Star Resources,Materials
PLS.AX,Pilbara Minerals,Materials
QAN.AX,Qantas Airways,Industrials
SUL.AX,Super Retail Group,Consumer Discretionary
SVW.AX,Seven Group Holdings,Industrials
TLC.AX,Lottery Corporation,Consumer Discretionary
TPG.AX,TPG Telecom,Communication Services
TWE.AX,Treasury Wine Estates,Consumer Staples
WTC.AX,WiseTech Global,Information Technology
XRO.AX,Xero,Information Technology
ALD.AX,Ampol,Energy
AGL.AX,AGL Energy,Utilities
APA.AX,APA Group,Utilities
ALU.AX,Altium,Information Technology
AMC.AX,Amcor,Materials
ANN.AX,Ansell,Health Care
ARB.AX,ARB Corporation,Consumer Discretionary
AZJ.AX,Aurizon Holdings,Industrials
BEN.AX,Bendigo and Adelaide Bank,Financials
BOQ.AX,Bank of Queensland,Financials
BRG.AX,Breville Group,Consumer Discretionary
BSL.AX,BlueScope Steel,Materials
BXB.AX,Brambles,Industrials
CAR.AX,CAR Group,Communication Services
CGF.AX,Challenger,Financials
CHC.AX,Charter Hall Group,Real Estate
CIA.AX,Champion Iron,Materials
CIP.AX,Centuria Industrial REIT,Real Estate
CMW.AX,Cromwell Property Group,Real Estate
CNI.AX,Centuria Capital Group,Real Estate
CNU.AX,Chorus,Communication Services
CPU.AX,Computershare,Information Technology
CQR.AX,Charter Hall Retail REIT,Real Estate
CTD.AX,Corporate Travel Management,Consumer Discretionary
DEG.AX,De Grey Mining,Materials
DMP.AX,Domino's Pizza Enterprises,Consumer Discretionary
DOW.AX,Downer EDI,Industrials
DRR.AX,Deterra Royalties,Materials
DXS.AX,Dexus,Real Estate
EBO.AX,EBOS Group,Health Care
EDV.AX,Endeavour Group,Consumer Staples
ELD.AX,Elders,Consumer Staples
EVN.AX,Evolution Mining,Materials
FBU.AX,Fletcher Building,Materials
FLT.AX,Flight Centre Travel Group,Consumer Discretionary
GMD.AX,Genesis Minerals,Materials
GNC.AX,GrainCorp,Consumer Staples
GOR.AX,Gold Road Resources,Materials
GPT.AX,GPT Group,Real Estate
