ticker,name,category,subcategory,mer,distribution_freq
VAS.AX,Vanguard Australian Shares Index ETF,Aus Equity,Broad,0.0007,Quarterly
A200.AX,Betashares Australia 200 ETF,Aus Equity,Broad,0.0004,Semi-Annual
IOZ.AX,iShares Core S&P/ASX 200 ETF,Aus Equity,Broad,0.0009,Semi-Annual
STW.AX,SPDR S&P/ASX 200 Fund,Aus Equity,Broad,0.0013,Quarterly
MVW.AX,VanEck Australian Equal Weight ETF,Aus Equity,Equal Weight,0.0035,Semi-Annual
VHY.AX,Vanguard Australian Shares High Yield ETF,Aus Equity,High Yield,0.0025,Quarterly
IHD.AX,iShares S&P/ASX Dividend Opportunities ETF,Aus Equity,High Yield,0.0030,Quarterly
SYI.AX,SPDR MSCI Australia Select High Dividend Yield Fund,Aus Equity,High Yield,0.0035,Quarterly
EX20.AX,Betashares Australian Ex-20 Portfolio Diversifier ETF,Aus Equity,Mid/Small,0.0025,Semi-Annual
VSO.AX,Vanguard MSCI Australian Small Companies Index ETF,Aus Equity,Small Caps,0.0030,Quarterly
ISO.AX,iShares S&P/ASX Small Ordinaries ETF,Aus Equity,Small Caps,0.0055,Quarterly
SMLL.AX,Betashares Australian Small Companies Select Fund,Aus Equity,Small Caps,0.0039,Semi-Annual
VLC.AX,Vanguard MSCI Australian Large Companies Index ETF,Aus Equity,Large Caps,0.0020,Quarterly
QOZ.AX,Betashares FTSE RAFI Australia 200 ETF,Aus Equity,Fundamental,0.0040,Semi-Annual
MVE.AX,VanEck S&P/ASX MidCap ETF,Aus Equity,Mid Caps,0.0045,Semi-Annual
GRNV.AX,VanEck MSCI Australian Sustainable Equity ETF,Aus Equity,ESG,0.0035,Semi-Annual
FAIR.AX,Betashares Australian Sustainability Leaders ETF,Aus Equity,ESG,0.0049,Semi-Annual
VGS.AX,Vanguard MSCI Index International Shares ETF,Intl Equity,Developed Broad,0.0018,Quarterly
IVV.AX,iShares S&P 500 ETF,Intl Equity,US Large,0.0004,Quarterly
IOO.AX,iShares Global 100 ETF,Intl Equity,Developed Broad,0.0040,Semi-Annual
VTS.AX,Vanguard US Total Market Shares ETF,Intl Equity,US Total,0.0003,Quarterly
NDQ.AX,Betashares NASDAQ 100 ETF,Intl Equity,US Tech,0.0048,Semi-Annual
HNDQ.AX,Betashares NASDAQ 100 Currency Hedged ETF,Intl Equity,US Tech (Hedged),0.0051,Semi-Annual
QUAL.AX,VanEck MSCI World ex-Australia Quality ETF,Intl Equity,Developed Quality,0.0040,Semi-Annual
QHAL.AX,VanEck MSCI World ex-Australia Quality (Hedged) ETF,Intl Equity,Developed Quality (Hedged),0.0043,Semi-Annual
VEU.AX,Vanguard All-World ex-US Shares Index ETF,Intl Equity,Ex-US Developed,0.0008,Quarterly
WXOZ.AX,SPDR S&P World ex Australia Fund,Intl Equity,Developed Broad,0.0030,Annual
VESG.AX,Vanguard Ethically Conscious International Shares ETF,Intl Equity,ESG,0.0018,Quarterly
ETHI.AX,Betashares Global Sustainability Leaders ETF,Intl Equity,ESG,0.0059,Semi-Annual
VVLU.AX,Vanguard Global Value Equity Active ETF,Intl Equity,Value,0.0029,Quarterly
VMIN.AX,Vanguard Global Minimum Volatility Active ETF,Intl Equity,Min Vol,0.0028,Quarterly
HVST.AX,Betashares Australian Dividend Harvester Fund,Aus Equity,High Yield,0.0090,Monthly
RDV.AX,Russell High Dividend Australian Shares ETF,Aus Equity,High Yield,0.0034,Quarterly
ZYAU.AX,SPDR MSCI Australia Select High Dividend Yield Fund,Aus Equity,High Yield,0.0035,Quarterly
HACK.AX,Betashares Global Cybersecurity ETF,Intl Equity,Sector Tech,0.0067,Annual
ROBO.AX,ETFS ROBO Global Robotics and Automation ETF,Intl Equity,Sector Tech,0.0069,Annual
ATEC.AX,Betashares S&P/ASX Australian Technology ETF,Aus Equity,Sector Tech,0.0048,Semi-Annual
DRUG.AX,Betashares Global Healthcare ETF (currency hedged),Intl Equity,Sector Health,0.0057,Semi-Annual
IXJ.AX,iShares Global Healthcare ETF,Intl Equity,Sector Health,0.0047,Semi-Annual
MNRS.AX,Betashares Global Gold Miners ETF (currency hedged),Intl Equity,Sector Materials,0.0057,Semi-Annual
FANG.AX,Betashares FANG+ ETF,Intl Equity,US Tech Concentrated,0.0035,Semi-Annual
